C_CUSTOMER_SK,C_CUSTOMER_ID,C_CURRENT_CDEMO_SK,C_CURRENT_HDEMO_SK,C_CURRENT_ADDR_SK,C_FIRST_SHIPTO_DATE_SK,C_FIRST_SALES_DATE_SK,C_SALUTATION,C_FIRST_NAME,C_LAST_NAME,C_PREFERRED_CUST_FLAG,C_BIRTH_DAY,C_BIRTH_MONTH,C_BIRTH_YEAR,C_BIRTH_COUNTRY,C_LOGIN,C_EMAIL_ADDRESS,C_LAST_REVIEW_DATE
40105800,AAAAAAAAIEHPDGCA,1793533,,19844588,2449512,,,Alice,,Y,,,1951,,,Alice.James@tlHoGmyEnChmrS2i.org,2452299
60851461,AAAAAAAAFAFIAKDA,784962,4590,128571,2450090,2450060,Mr.,Marcos,Schaffer,Y,16,10,1961,RUSSIAN FEDERATION,,Marcos.Schaffer@oN3g7sgsZk4Bcc.com,2452474
60851461,AAAAAAAAFAFIAKDA,784962,4590,128571,2450090,2450060,Mr.,Marcos,Schaffer,Y,16,10,1961,RUSSIAN FEDERATION,,Marcos.Schaffer@oN3g7sgsZk4Bcc.com,2452474
60993322,AAAAAAAAKCPKCKDA,1843490,,4300213,2452545,2452515,,,,,26,6,,,,,
60993322,AAAAAAAAKCPKCKDA,1843490,,4300213,2452545,2452515,,,,,26,6,,,,,
61011715,AAAAAAAADAHPCKDA,1840356,4073,17452143,2449092,2449062,Sir,Erik,Smith,Y,29,12,1987,BURUNDI,,Erik.Smith@i1tTu6KSbN0.edu,2452347
35635894,AAAAAAAAGLCMPBCA,1051761,1135,240109,2449841,2449811,Dr.,Anne,Ward,N,11,10,1957,ICELAND,,Anne.Ward@rQYO4mXOT.edu,2452382
35686724,AAAAAAAAEEJIACCA,1586863,4236,10517256,2450007,2449977,Mr.,James,Perkins,N,13,8,1926,"KOREA, REPUBLIC OF",,James.Perkins@Hm5850JOqaOtn.edu,2452555
40137229,AAAAAAAANACHEGCA,970158,5659,28859913,2451555,2451525,Sir,Monty,West,N,20,5,1937,ALBANIA,,Monty.West@PFdoeixVu67XRDF.edu,2452535
40287660,AAAAAAAAMKNLGGCA,250063,440,21594464,2450510,2450480,Dr.,Julius,Davis,Y,12,1,1937,SOUTH AFRICA,,Julius.Davis@8U0y.edu,2452464
40303736,AAAAAAAAIHMPGGCA,482711,6988,3393665,2449441,2449411,Sir,Roger,Banks,N,22,1,1937,MYANMAR,,Roger.Banks@x0B0xuyjB.org,2452627
39870731,AAAAAAAALABGAGCA,1800697,4266,26779482,2450207,2450177,Dr.,Bettye,Williams,N,16,1,1940,BRUNEI DARUSSALAM,,Bettye.Williams@j6oc1LzczTI.org,2452339
39947376,AAAAAAAAAHMIBGCA,675048,258,5097821,2452518,2452488,Sir,Louis,Rincon,Y,27,12,1951,CHRISTMAS ISLAND,,Louis.Rincon@ufMP6dhiPR2XPUu.com,2452497
39951855,AAAAAAAAPONJBGCA,1453709,1252,20704795,2451068,2451038,Miss,Lydia,Lewis,N,15,6,1983,AMERICAN SAMOA,,Lydia.Lewis@lZ7t6JQ4cLN.edu,2452553
40009522,AAAAAAAACDPHCGCA,190540,7105,8387223,2451183,2451153,Dr.,Ronald,Vang,Y,2,6,1932,SWITZERLAND,,Ronald.Vang@5h5fjl.com,2452409
62282058,AAAAAAAAKEJFGLDA,1568705,2379,26006100,2451144,2451114,Mr.,Derek,Coles,Y,23,9,1964,BOLIVIA,,Derek.Coles@FqH1j0OQn6.org,2452522
